@RELATION weekly

@ATTRIBUTE weekly_symbol string
@ATTRIBUTE stock_open real
@ATTRIBUTE high real
@ATTRIBUTE low real
@ATTRIBUTE stock_close real
@ATTRIBUTE adjusted_close real
@ATTRIBUTE volume real
@ATTRIBUTE dividend_amount real
@ATTRIBUTE cobdate_partition DATE "yyyy-MM-dd"

@DATA
JPM,36.95,38.8,36.93,38.65,24.7853,46280900,0.0,"2004-08-20"
JPM,38.75,39.8,38.34,39.72,25.4715,41084100,0.0,"2004-08-27"
JPM,39.67,40.0,38.91,39.85,25.5548,35019500,0.0,"2004-09-03"
JPM,39.85,40.1,39.35,39.8,25.5228,36050500,0.0,"2004-09-10"
JPM,39.69,39.88,39.08,39.65,25.4266,43908600,0.0,"2004-09-17"
JPM,39.66,40.25,39.3,39.75,25.4907,49002600,0.0,"2004-09-24"
JPM,39.62,40.4,38.95,40.34,25.8691,45900900,0.0,"2004-10-01"
JPM,40.33,40.45,39.06,39.65,25.644,45860800,0.34,"2004-10-08"
JPM,39.5,39.69,38.2,38.74,25.0555,39196700,0.0,"2004-10-15"
JPM,38.55,39.38,36.321,37.47,24.2341,66178900,0.0,"2004-10-22"
JPM,37.47,38.62,36.9,38.6,24.9649,54038300,0.0,"2004-10-29"
JPM,38.77,39.91,38.41,39.35,25.45,56705400,0.0,"2004-11-05"
JPM,39.32,39.49,38.85,39.17,25.3336,41358800,0.0,"2004-11-12"
JPM,39.0,39.16,37.27,37.42,24.2017,66663400,0.0,"2004-11-19"
JPM,37.42,37.85,37.15,37.69,24.3764,33954700,0.0,"2004-11-26"
JPM,37.69,38.62,37.06,38.06,24.6157,54058800,0.0,"2004-12-03"
JPM,37.95,38.42,37.25,37.63,24.3376,49836300,0.0,"2004-12-10"
JPM,38.0,39.25,37.92,38.52,24.9132,66155600,0.0,"2004-12-17"
JPM,38.6,39.48,38.52,39.16,25.3271,35363000,0.0,"2004-12-23"
JPM,39.2,39.32,38.925,39.01,25.2301,27567700,0.0,"2004-12-31"
JPM,39.48,39.69,38.32,38.4,25.0554,55176100,0.34,"2005-01-07"
JPM,38.27,38.51,37.57,37.81,24.6704,44319800,0.0,"2005-01-14"
JPM,37.71,38.49,36.85,36.85,24.044,54989700,0.0,"2005-01-21"
JPM,36.86,37.22,36.51,37.0,24.1419,62485500,0.0,"2005-01-28"
JPM,37.28,37.74,37.24,37.69,24.5921,62674700,0.0,"2005-02-04"
JPM,37.7,38.07,37.14,37.48,24.4551,43651000,0.0,"2005-02-11"
JPM,37.57,37.75,36.3,36.51,23.8222,54356600,0.0,"2005-02-18"
JPM,36.51,37.08,35.9,36.97,24.1223,45331800,0.0,"2005-02-25"
JPM,36.97,37.79,36.52,37.51,24.4747,52037600,0.0,"2005-03-04"
JPM,37.51,37.55,36.0,36.11,23.5612,60048400,0.0,"2005-03-11"
JPM,36.11,36.67,35.82,36.01,23.496,62250200,0.0,"2005-03-18"
JPM,35.88,36.0,34.87,34.93,22.7913,55754800,0.0,"2005-03-24"
JPM,34.93,35.11,33.84,34.25,22.3476,68257400,0.0,"2005-04-01"
JPM,33.67,35.1,33.35,34.5,22.7373,56181500,0.34,"2005-04-08"
JPM,34.67,35.2,33.89,33.93,22.3617,59123400,0.0,"2005-04-15"
JPM,34.25,35.88,34.21,34.87,22.9812,82445900,0.0,"2005-04-22"
JPM,34.98,35.75,34.89,35.49,23.3898,56235100,0.0,"2005-04-29"
JPM,35.58,36.19,35.12,35.61,23.4689,51399600,0.0,"2005-05-06"
JPM,35.56,36.0,34.11,34.46,22.711,54809000,0.0,"2005-05-13"
